Date,Channel,Currency,Exchange,success,pump_date
2019-11-21T18:00:11Z,Crypto Pump Island,EDO,Binance,1,2019-11-21T18:01:00Z
2019-12-02T12:05:26Z,Bitcoin Pump Group,CDT,Binance,0,
2019-12-02T17:59:49Z,Signals Lion,NAS,Binance,1,2019-12-02T17:59:00Z
2019-12-02T18:50:05Z,Bitcoin Profit Coach,CDT,Binance,0,
2019-12-04T12:06:16Z,Crypto Lion's™,BEAM,Binance,0,
2019-12-08T21:01:51Z,Binance Royal Pump,EDO,Binance,1,2019-12-08T21:01:00Z
2019-12-12T13:57:29Z,Crypto Lion's™,DUSK,Binance,0,
2019-12-19T17:00:15Z,Crypto Pump Island,NAV,Binance,1,2019-12-19T17:00:00Z
2019-12-23T16:29:25Z,DA PUMP,BRD,Binance,1,2019-12-23T15:30:00Z
2020-01-08T17:05:56Z,Crypto Pump Island,EDO,Binance,0,
2020-01-09T15:29:59Z,Wolf of trading Signals,OST,Binance,0,
2020-01-09T17:00:11Z,Crypto Pump Island,ONG,Binance,1,2020-01-09T17:00:00Z
2020-01-10T18:00:09Z,Crypto Pump Island,GNT,Binance,1,2020-01-10T18:00:00Z
2020-01-11T18:40:25Z,Hot Signals Binance Bittrex,ARDR,Binance,0,
2020-01-12T20:00:11Z,Binance Royal Pump,VIB,Binance,1,2020-01-12T20:00:00Z
2020-01-16T19:00:18Z,Binance Royal Pump,NAV,Binance,1,2020-01-16T19:00:00Z
2020-01-18T18:21:37Z,Wolf of trading Signals,NULS,Binance,0,
2020-01-20T16:00:35Z,Binance Royal Pump,BRD,Binance,1,2020-01-20T16:00:00Z
2020-01-30T17:00:06Z,Crypto Pump Island,NULS,Binance,1,2020-01-30T16:59:00Z
2020-01-30T17:29:44Z,Optimus Pump,NXS,Binance,1,2020-01-30T16:30:00Z
2020-02-10T20:00:14Z,Binance Royal Pump,WPR,Binance,1,2020-02-10T20:00:00Z
2020-02-12T09:45:34Z,Crypto Lion's™,FET,Binance,0,
2020-02-12T16:27:12Z,Crypto Tree 🎄,FTM,Binance,0,
2020-02-12T18:24:33Z,Crypto Lion's™,RDN,Binance,0,
2020-02-17T09:33:31Z,Crypto Lion's™,XTZ,Binance,0,
2020-02-18T13:11:49Z,Crypto Lion's™,KAVA,Binance,0,
2020-02-18T15:37:03Z,Crypto Lion's™,KAVA,Binance,0,
2020-02-26T18:00:11Z,Crypto Pump Island,SYS,Binance,1,2020-02-26T18:00:00Z
2020-03-08T18:59:46Z,CryptoFamily Binance,SNGLS,Binance,1,2020-03-08T18:57:00Z
2020-03-09T19:50:45Z,Binance Mega Pump,NAV,Binance,0,
2020-03-12T16:00:05Z,Crypto Pump Island,QLC,Binance,1,2020-03-12T16:00:00Z
2020-03-12T19:00:17Z,Binance Royal Pump,POA,Binance,1,2020-03-12T19:01:00Z
2020-03-13T16:00:07Z,Crypto Pump Island,TCT,Binance,0,
2020-03-15T20:00:13Z,Binance Royal Pump,NEBL,Binance,0,
2020-03-16T15:59:55Z,Binance Mega Pump,NAV,Binance,0,
2020-03-17T15:55:01Z,Binance Royal Pump,BNT,Binance,0,
2020-03-17T17:00:02Z,Binance Mega Pump,RLC,Binance,0,
2020-03-18T19:00:03Z,CryptoFamily Binance,LUN,Binance,1,2020-03-18T19:00:00Z
2020-03-18T19:00:13Z,Binance Royal Pump,LUN,Binance,1,2020-03-18T19:00:00Z
